id,product,city,category,priority,complaint_date,complaint
98,Smartwatch Z,Jaipur,Software,Medium,2025-04-26,My Smartwatch Z has an issue: payment failed.
99,Tablet S,Bangalore,Hardware,Medium,2025-09-24,My Tablet S has an issue: app crashes.
100,Laptop Pro,Mumbai,Hardware,Medium,2025-12-26,My Laptop Pro has an issue: wifi disconnects.
101,Laptop Pro,Delhi,Hardware,Low,2025-12-04,My Laptop Pro has an issue: screen not working.
102,Laptop Pro,Ahmedabad,Delivery,Medium,2025-11-18,My Laptop Pro has an issue: device overheating.
103,Tablet S,Ahmedabad,Billing,Low,2025-11-11,My Tablet S has an issue: delivery delayed.
104,Phone X,Bangalore,Hardware,Medium,2025-11-20,My Phone X has an issue: payment failed.
105,Tablet S,Mumbai,Network,Medium,2025-08-13,My Tablet S has an issue: shipment lost.
106,Tablet S,Jaipur,Hardware,Low,2025-10-04,My Tablet S has an issue: payment failed.
107,Tablet S,Jaipur,Software,Medium,2025-03-06,My Tablet S has an issue: wifi disconnects.
108,Smartwatch Z,Bangalore,Hardware,High,2025-07-16,My Smartwatch Z has an issue: payment failed.
109,Tablet S,Kolkata,Software,Medium,2025-05-30,My Tablet S has an issue: device overheating.
110,Laptop Pro,Lucknow,Billing,Medium,2025-10-27,My Laptop Pro has an issue: delivery delayed.
111,Phone X,Mumbai,Delivery,Critical,2025-05-19,My Phone X has an issue: device overheating.
112,Phone X,Pune,Billing,Low,2025-10-21,My Phone X has an issue: delivery delayed.
113,Smartwatch Z,Delhi,Hardware,Medium,2025-04-12,My Smartwatch Z has an issue: device overheating.
114,Tablet S,Chennai,Software,Medium,2025-09-14,My Tablet S has an issue: battery drains fast.
115,Earbuds Q,Mumbai,Billing,Medium,2025-11-27,My Earbuds Q has an issue: screen not working.
116,Earbuds Q,Ahmedabad,Network,Low,2025-04-17,My Earbuds Q has an issue: shipment lost.
117,Laptop Pro,Mumbai,Network,Low,2025-11-06,My Laptop Pro has an issue: device overheating.
118,Smartwatch Z,Mumbai,Network,High,2025-01-05,My Smartwatch Z has an issue: app crashes.
119,Tablet S,Pune,Software,Medium,2025-03-21,My Tablet S has an issue: app crashes.
120,Laptop Pro,Pune,Network,Medium,2025-04-24,My Laptop Pro has an issue: app crashes.
121,Tablet S,Chennai,Software,Low,2025-03-12,My Tablet S has an issue: camera blurred.
122,Smartwatch Z,Bangalore,Software,Critical,2025-09-14,My Smartwatch Z has an issue: shipment lost.
123,Tablet S,Chennai,Software,Low,2025-09-17,My Tablet S has an issue: screen not working.
124,Earbuds Q,Hyderabad,Delivery,Low,2025-07-05,My Earbuds Q has an issue: camera blurred.
125,Tablet S,Lucknow,Software,High,2025-03-15,My Tablet S has an issue: payment failed.
126,Earbuds Q,Hyderabad,Billing,Medium,2025-11-01,My Earbuds Q has an issue: camera blurred.
127,Tablet S,Ahmedabad,Billing,Low,2025-12-27,My Tablet S has an issue: delivery delayed.
128,Phone X,Chennai,Hardware,High,2025-06-06,My Phone X has an issue: app crashes.
129,Smartwatch Z,Jaipur,Software,Medium,2025-12-30,My Smartwatch Z has an issue: no sound.
130,Earbuds Q,Hyderabad,Software,Low,2025-11-08,My Earbuds Q has an issue: camera blurred.
131,Tablet S,Chennai,Network,High,2025-11-05,My Tablet S has an issue: app crashes.
132,Laptop Pro,Ahmedabad,Hardware,Medium,2025-01-06,My Laptop Pro has an issue: delivery delayed.
133,Smartwatch Z,Chennai,Hardware,Low,2025-07-27,My Smartwatch Z has an issue: camera blurred.
134,Phone X,Hyderabad,Delivery,High,2025-02-06,My Phone X has an issue: screen not working.
135,Smartwatch Z,Ahmedabad,Billing,High,2025-08-22,My Smartwatch Z has an issue: battery drains fast.
136,Phone X,Lucknow,Software,High,2025-01-12,My Phone X has an issue: screen not working.
137,Phone X,Ahmedabad,Hardware,High,2025-07-06,My Phone X has an issue: delivery delayed.
138,Phone X,Delhi,Network,Low,2025-11-10,My Phone X has an issue: shipment lost.
139,Tablet S,Lucknow,Delivery,Low,2025-05-02,My Tablet S has an issue: battery drains fast.
140,Tablet S,Delhi,Delivery,High,2025-05-19,My Tablet S has an issue: wifi disconnects.
141,Earbuds Q,Ahmedabad,Software,Low,2025-04-17,My Earbuds Q has an issue: shipment lost.
142,Smartwatch Z,Delhi,Network,High,2025-09-15,My Smartwatch Z has an issue: battery drains fast.
143,Smartwatch Z,Pune,Network,Low,2025-09-30,My Smartwatch Z has an issue: app crashes.
144,Tablet S,Mumbai,Delivery,High,2025-09-14,My Tablet S has an issue: device overheating.
145,Phone X,Kolkata,Hardware,Low,2025-02-19,My Phone X has an issue: camera blurred.
146,Laptop Pro,Delhi,Software,Medium,2025-01-27,My Laptop Pro has an issue: delivery delayed.
147,Phone X,Pune,Billing,Medium,2025-09-13,My Phone X has an issue: screen not working.
148,Smartwatch Z,Chennai,Software,Low,2025-05-15,My Smartwatch Z has an issue: payment failed.
149,Phone X,Hyderabad,Delivery,Medium,2025-03-21,My Phone X has an issue: app crashes.
150,Phone X,Pune,Hardware,Medium,2025-01-07,My Phone X has an issue: camera blurred.
151,Earbuds Q,Chennai,Hardware,Low,2025-01-27,My Earbuds Q has an issue: delivery delayed.
152,Earbuds Q,Pune,Network,Medium,2025-12-11,My Earbuds Q has an issue: shipment lost.
153,Earbuds Q,Ahmedabad,Delivery,High,2025-02-06,My Earbuds Q has an issue: screen not working.
154,Phone X,Pune,Delivery,Medium,2025-06-02,My Phone X has an issue: payment failed.
155,Smartwatch Z,Mumbai,Billing,Low,2025-01-07,My Smartwatch Z has an issue: battery drains fast.
156,Tablet S,Jaipur,Network,Low,2025-05-18,My Tablet S has an issue: delivery delayed.
157,Phone X,Delhi,Software,Critical,2025-02-01,My Phone X has an issue: wifi disconnects.
158,Laptop Pro,Chennai,Hardware,Medium,2025-01-18,My Laptop Pro has an issue: payment failed.
159,Earbuds Q,Lucknow,Software,Medium,2025-07-24,My Earbuds Q has an issue: app crashes.
160,Tablet S,Mumbai,Software,Low,2025-08-13,My Tablet S has an issue: battery drains fast.
161,Smartwatch Z,Hyderabad,Billing,Critical,2025-11-29,My Smartwatch Z has an issue: device overheating.
162,Earbuds Q,Mumbai,Network,Medium,2025-08-02,My Earbuds Q has an issue: battery drains fast.
163,Laptop Pro,Kolkata,Network,Low,2025-07-30,My Laptop Pro has an issue: no sound.
164,Tablet S,Chennai,Delivery,Low,2025-06-11,My Tablet S has an issue: device overheating.
165,Laptop Pro,Bangalore,Hardware,Medium,2025-04-09,My Laptop Pro has an issue: delivery delayed.
166,Earbuds Q,Bangalore,Hardware,Critical,2025-06-01,My Earbuds Q has an issue: delivery delayed.
167,Laptop Pro,Delhi,Software,Medium,2025-10-04,My Laptop Pro has an issue: device overheating.
168,Smartwatch Z,Bangalore,Network,Low,2025-08-23,My Smartwatch Z has an issue: app crashes.
169,Tablet S,Hyderabad,Software,Critical,2025-08-14,My Tablet S has an issue: battery drains fast.
170,Laptop Pro,Bangalore,Billing,Critical,2025-10-13,My Laptop Pro has an issue: screen not working.
171,Laptop Pro,Jaipur,Hardware,Low,2025-06-03,My Laptop Pro has an issue: battery drains fast.
172,Tablet S,Kolkata,Network,Medium,2025-11-07,My Tablet S has an issue: wifi disconnects.
173,Phone X,Bangalore,Billing,Medium,2025-06-14,My Phone X has an issue: payment failed.
174,Laptop Pro,Pune,Delivery,Medium,2025-08-15,My Laptop Pro has an issue: camera blurred.
175,Laptop Pro,Bangalore,Delivery,Low,2025-05-10,My Laptop Pro has an issue: no sound.
176,Phone X,Hyderabad,Billing,Low,2025-04-12,My Phone X has an issue: screen not working.
177,Laptop Pro,Lucknow,Network,Low,2025-06-25,My Laptop Pro has an issue: payment failed.
178,Phone X,Hyderabad,Software,Medium,2025-10-01,My Phone X has an issue: payment failed.
179,Phone X,Kolkata,Billing,Medium,2025-05-10,My Phone X has an issue: app crashes.
180,Earbuds Q,Pune,Network,Critical,2025-08-20,My Earbuds Q has an issue: app crashes.
181,Tablet S,Jaipur,Billing,Medium,2026-01-01,My Tablet S has an issue: no sound.
182,Smartwatch Z,Jaipur,Hardware,Low,2025-06-28,My Smartwatch Z has an issue: battery drains fast.
183,Tablet S,Chennai,Network,Medium,2025-03-04,My Tablet S has an issue: device overheating.
184,Tablet S,Chennai,Billing,High,2025-08-05,My Tablet S has an issue: app crashes.
185,Smartwatch Z,Pune,Hardware,High,2025-09-07,My Smartwatch Z has an issue: delivery delayed.
186,Tablet S,Pune,Network,Low,2025-05-19,My Tablet S has an issue: camera blurred.
187,Earbuds Q,Hyderabad,Delivery,High,2025-12-08,My Earbuds Q has an issue: delivery delayed.
188,Phone X,Bangalore,Billing,Low,2025-09-09,My Phone X has an issue: camera blurred.
189,Smartwatch Z,Kolkata,Delivery,Low,2025-09-16,My Smartwatch Z has an issue: no sound.
190,Tablet S,Ahmedabad,Billing,Low,2025-07-23,My Tablet S has an issue: no sound.
191,Laptop Pro,Hyderabad,Hardware,Critical,2025-02-12,My Laptop Pro has an issue: shipment lost.
192,Earbuds Q,Chennai,Delivery,Critical,2025-03-06,My Earbuds Q has an issue: shipment lost.
193,Smartwatch Z,Mumbai,Network,Medium,2025-12-10,My Smartwatch Z has an issue: payment failed.
194,Phone X,Jaipur,Billing,Medium,2025-05-28,My Phone X has an issue: camera blurred.
195,Tablet S,Lucknow,Hardware,Low,2025-01-10,My Tablet S has an issue: screen not working.
196,Phone X,Kolkata,Hardware,Low,2025-07-02,My Phone X has an issue: app crashes.
197,Phone X,Bangalore,Delivery,Medium,2025-06-27,My Phone X has an issue: delivery delayed.
198,Earbuds Q,Jaipur,Delivery,Low,2025-11-26,My Earbuds Q has an issue: screen not working.
199,Tablet S,Hyderabad,Hardware,Critical,2025-11-19,My Tablet S has an issue: battery drains fast.
200,Earbuds Q,Hyderabad,Delivery,Medium,2025-07-30,My Earbuds Q has an issue: shipment lost.
201,Smartwatch Z,Ahmedabad,Delivery,Medium,2025-03-25,My Smartwatch Z has an issue: screen not working.
202,Smartwatch Z,Kolkata,Delivery,Medium,2025-11-15,My Smartwatch Z has an issue: payment failed.
203,Tablet S,Delhi,Hardware,High,2025-08-20,My Tablet S has an issue: camera blurred.
204,Laptop Pro,Lucknow,Network,Medium,2025-09-25,My Laptop Pro has an issue: device overheating.
205,Laptop Pro,Hyderabad,Delivery,Low,2025-12-11,My Laptop Pro has an issue: screen not working.
206,Tablet S,Kolkata,Delivery,Low,2025-10-19,My Tablet S has an issue: device overheating.
207,Tablet S,Ahmedabad,Billing,Medium,2025-06-21,My Tablet S has an issue: shipment lost.
208,Earbuds Q,Ahmedabad,Delivery,Low,2025-11-24,My Earbuds Q has an issue: camera blurred.
209,Smartwatch Z,Kolkata,Hardware,Low,2025-11-17,My Smartwatch Z has an issue: delivery delayed.
210,Earbuds Q,Hyderabad,Delivery,Low,2025-02-14,My Earbuds Q has an issue: no sound.
211,Laptop Pro,Mumbai,Network,Low,2025-12-31,My Laptop Pro has an issue: wifi disconnects.
212,Earbuds Q,Kolkata,Billing,Low,2025-05-15,My Earbuds Q has an issue: shipment lost.
213,Tablet S,Hyderabad,Delivery,High,2025-03-19,My Tablet S has an issue: battery drains fast.
214,Laptop Pro,Chennai,Hardware,Medium,2025-06-08,My Laptop Pro has an issue: battery drains fast.
215,Tablet S,Bangalore,Billing,Low,2025-09-27,My Tablet S has an issue: payment failed.
216,Tablet S,Bangalore,Software,High,2025-02-12,My Tablet S has an issue: device overheating.
217,Tablet S,Lucknow,Hardware,High,2025-10-22,My Tablet S has an issue: device overheating.
218,Phone X,Delhi,Software,Low,2025-12-12,My Phone X has an issue: delivery delayed.
219,Smartwatch Z,Lucknow,Billing,Low,2025-04-08,My Smartwatch Z has an issue: battery drains fast.
220,Phone X,Delhi,Software,Low,2025-04-02,My Phone X has an issue: shipment lost.
221,Tablet S,Jaipur,Delivery,Medium,2025-02-18,My Tablet S has an issue: wifi disconnects.
222,Laptop Pro,Bangalore,Network,Low,2025-04-02,My Laptop Pro has an issue: no sound.
223,Earbuds Q,Bangalore,Billing,Medium,2025-01-15,My Earbuds Q has an issue: battery drains fast.
224,Smartwatch Z,Hyderabad,Delivery,Low,2025-03-26,My Smartwatch Z has an issue: wifi disconnects.
225,Phone X,Delhi,Billing,High,2025-07-21,My Phone X has an issue: battery drains fast.
226,Tablet S,Pune,Hardware,High,2025-01-24,My Tablet S has an issue: no sound.
227,Laptop Pro,Lucknow,Software,Medium,2025-01-11,My Laptop Pro has an issue: delivery delayed.
228,Laptop Pro,Delhi,Billing,Medium,2025-07-01,My Laptop Pro has an issue: device overheating.
229,Smartwatch Z,Kolkata,Software,High,2025-11-21,My Smartwatch Z has an issue: battery drains fast.
230,Earbuds Q,Pune,Hardware,Medium,2025-05-22,My Earbuds Q has an issue: device overheating.
231,Laptop Pro,Delhi,Hardware,Medium,2025-10-04,My Laptop Pro has an issue: wifi disconnects.
232,Phone X,Lucknow,Billing,Low,2025-09-03,My Phone X has an issue: screen not working.
233,Earbuds Q,Delhi,Hardware,Low,2025-03-10,My Earbuds Q has an issue: no sound.
234,Phone X,Mumbai,Hardware,Medium,2025-02-05,My Phone X has an issue: camera blurred.
235,Tablet S,Kolkata,Network,Medium,2025-10-08,My Tablet S has an issue: shipment lost.
236,Tablet S,Pune,Software,High,2025-09-03,My Tablet S has an issue: delivery delayed.
237,Earbuds Q,Kolkata,Network,Low,2025-04-15,My Earbuds Q has an issue: payment failed.
238,Tablet S,Bangalore,Delivery,Medium,2025-07-05,My Tablet S has an issue: payment failed.
239,Phone X,Pune,Delivery,Low,2025-06-12,My Phone X has an issue: battery drains fast.
240,Smartwatch Z,Jaipur,Delivery,Low,2025-09-27,My Smartwatch Z has an issue: delivery delayed.
241,Earbuds Q,Pune,Hardware,Medium,2025-02-04,My Earbuds Q has an issue: device overheating.
242,Earbuds Q,Bangalore,Billing,Medium,2025-03-31,My Earbuds Q has an issue: no sound.
243,Smartwatch Z,Jaipur,Billing,Low,2025-11-02,My Smartwatch Z has an issue: wifi disconnects.
244,Smartwatch Z,Hyderabad,Delivery,Medium,2025-05-24,My Smartwatch Z has an issue: battery drains fast.
245,Earbuds Q,Mumbai,Billing,Medium,2025-11-29,My Earbuds Q has an issue: battery drains fast.
246,Tablet S,Hyderabad,Delivery,Low,2025-07-10,My Tablet S has an issue: wifi disconnects.
247,Phone X,Ahmedabad,Billing,Low,2025-09-25,My Phone X has an issue: app crashes.
248,Smartwatch Z,Lucknow,Software,High,2025-11-26,My Smartwatch Z has an issue: payment failed.
249,Smartwatch Z,Kolkata,Billing,Low,2025-09-24,My Smartwatch Z has an issue: battery drains fast.
250,Earbuds Q,Pune,Software,High,2025-07-10,My Earbuds Q has an issue: wifi disconnects.
251,Laptop Pro,Lucknow,Network,Medium,2025-06-29,My Laptop Pro has an issue: delivery delayed.
252,Laptop Pro,Kolkata,Network,Low,2025-08-08,My Laptop Pro has an issue: payment failed.
253,Laptop Pro,Lucknow,Delivery,High,2025-09-05,My Laptop Pro has an issue: app crashes.
254,Laptop Pro,Bangalore,Software,Medium,2025-07-07,My Laptop Pro has an issue: device overheating.
255,Earbuds Q,Lucknow,Network,Medium,2025-08-28,My Earbuds Q has an issue: camera blurred.
256,Phone X,Lucknow,Delivery,Medium,2025-07-11,My Phone X has an issue: payment failed.
257,Tablet S,Mumbai,Hardware,High,2025-04-08,My Tablet S has an issue: payment failed.
258,Earbuds Q,Pune,Billing,Medium,2025-06-30,My Earbuds Q has an issue: device overheating.
259,Phone X,Hyderabad,Billing,Medium,2025-03-13,My Phone X has an issue: payment failed.
260,Laptop Pro,Pune,Billing,Critical,2025-11-10,My Laptop Pro has an issue: screen not working.
261,Laptop Pro,Pune,Network,Medium,2025-07-20,My Laptop Pro has an issue: payment failed.
262,Laptop Pro,Kolkata,Software,Medium,2025-04-08,My Laptop Pro has an issue: app crashes.
263,Laptop Pro,Pune,Hardware,Low,2025-05-09,My Laptop Pro has an issue: screen not working.
264,Smartwatch Z,Lucknow,Network,Medium,2025-08-29,My Smartwatch Z has an issue: device overheating.
265,Laptop Pro,Ahmedabad,Delivery,High,2025-07-23,My Laptop Pro has an issue: payment failed.
266,Laptop Pro,Pune,Network,High,2025-04-07,My Laptop Pro has an issue: device overheating.
267,Smartwatch Z,Jaipur,Network,Medium,2025-09-15,My Smartwatch Z has an issue: app crashes.
268,Laptop Pro,Chennai,Billing,Low,2025-09-18,My Laptop Pro has an issue: device overheating.
269,Phone X,Ahmedabad,Software,Medium,2025-06-11,My Phone X has an issue: app crashes.
270,Tablet S,Chennai,Network,High,2025-07-24,My Tablet S has an issue: device overheating.
271,Earbuds Q,Chennai,Hardware,Low,2025-07-17,My Earbuds Q has an issue: wifi disconnects.
272,Laptop Pro,Jaipur,Software,Low,2025-01-20,My Laptop Pro has an issue: wifi disconnects.
273,Tablet S,Chennai,Software,High,2025-01-25,My Tablet S has an issue: app crashes.
274,Tablet S,Ahmedabad,Hardware,Critical,2025-01-19,My Tablet S has an issue: wifi disconnects.
275,Phone X,Chennai,Delivery,Low,2025-07-16,My Phone X has an issue: screen not working.
276,Tablet S,Delhi,Billing,Low,2025-06-09,My Tablet S has an issue: screen not working.
277,Phone X,Kolkata,Billing,Low,2025-02-03,My Phone X has an issue: wifi disconnects.
278,Laptop Pro,Kolkata,Hardware,Medium,2025-11-26,My Laptop Pro has an issue: delivery delayed.
279,Phone X,Chennai,Delivery,Low,2025-05-12,My Phone X has an issue: wifi disconnects.
280,Phone X,Kolkata,Delivery,Critical,2025-01-10,My Phone X has an issue: app crashes.
281,Laptop Pro,Pune,Software,Low,2025-09-15,My Laptop Pro has an issue: no sound.
282,Tablet S,Delhi,Billing,Low,2025-04-11,My Tablet S has an issue: device overheating.
283,Earbuds Q,Bangalore,Software,Medium,2025-10-23,My Earbuds Q has an issue: camera blurred.
284,Earbuds Q,Hyderabad,Network,High,2025-08-27,My Earbuds Q has an issue: wifi disconnects.
285,Phone X,Lucknow,Hardware,Low,2025-12-07,My Phone X has an issue: wifi disconnects.
286,Laptop Pro,Hyderabad,Delivery,Medium,2025-07-18,My Laptop Pro has an issue: shipment lost.
287,Phone X,Hyderabad,Billing,High,2025-05-25,My Phone X has an issue: payment failed.
288,Smartwatch Z,Mumbai,Hardware,High,2025-11-03,My Smartwatch Z has an issue: shipment lost.
289,Earbuds Q,Bangalore,Delivery,Low,2025-01-26,My Earbuds Q has an issue: device overheating.
